area_quemada;clase_incendio;mes_incendio;vegetacion;Prec_pre_30;Prec_pre_15;Prec_pre_7;Prec_cont
3.0;B;Mayo;Bosque tropical perennifolio secundario;1.1;0.6;0.3;0.0
3.0;B;Junio;Matorral abierto;6.4;5.6;5.6;168.6
1.23;B;Marzo;Matorral abierto;114.7;87.9;69.6;0.0
1.5;B;Julio;Desierto polar_roca;28.7;18.5;14.7;0.0
1.0;B;Marzo;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
0.75;B;Septiembre;Desierto polar_roca;19.3;1.6;0.0;25.0
1.0;B;Mayo;Desierto polar_roca;0.0;0.0;0.0;0.0
1.0;B;Julio;Desierto polar_roca;142.4;49.4;13.2;94.6
1.0;B;Julio;Bosque tropical perennifolio secundario;2.0;2.0;2.0;0.0
15.0;C;Diciembre;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
1.0;B;Abril;Bosque tropical perennifolio secundario;34.8;20.2;13.5;71.2
0.58;B;Octubre;Matorral abierto;138.7;61.7;59.2;61.3
1.0;B;Abril;Pradera_estepa;2.6;2.3;1.3;0.0
3.0;B;Marzo;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
26.5;C;Agosto;Desierto polar_roca;0.0;0.0;0.0;0.0
160.0;D;Junio;Bosque tropical perennifolio secundario;44.5;38.6;0.0;198.2
5.0;B;Julio;Matorral abierto;0.0;0.0;0.0;3.6
14.0;C;Abril;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
1.0;B;Agosto;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
35.0;C;Abril;Matorral abierto;42.3;25.8;9.2;43.9
20.0;C;Mayo;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
9.1;B;Mayo;Matorral abierto;0.0;0.0;0.0;0.0
10.0;C;Febrero;Bosque tropical perennifolio secundario;86.5;69.4;69.4;76.1
200.0;D;Agosto;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
1.0;B;Febrero;Bosque tropical perennifolio secundario;26.7;12.2;0.0;70.3
8.0;B;Abril;Matorral abierto;0.0;0.0;0.0;0.0
1.0;B;Febrero;Matorral abierto;11.2;0.0;0.0;0.0
2.0;B;Septiembre;Bosque tropical perennifolio secundario;13.5;11.7;4.1;112.8
17.9;C;Mayo;Desierto polar_roca;25.1;17.5;17.5;0.0
2.0;B;Junio;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
1.0;B;Abril;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
4.0;B;Abril;Bosque tropical perennifolio secundario;63.9;40.5;8.4;0.0
2.0;B;Marzo;Desierto polar_roca;138.8;105.6;56.4;177.4
40.0;C;Agosto;Desierto polar_roca;0.0;0.0;0.0;0.0
25.0;C;Enero;Matorral abierto;0.0;0.0;0.0;0.0
1.74;B;Abril;Bosque templado;105.2;7.1;0.0;0.0
46.0;C;Enero;Bosque tropical perennifolio;257.4;70.8;13.2;0.0
3.0;B;Junio;Matorral abierto;81.3;36.6;34.8;4.6
4.0;B;Marzo;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
2.0;B;Diciembre;Bosque tropical perennifolio;39.4;5.2;1.6;75.8
1.0;B;Febrero;Bosque tropical perennifolio;93.2;54.6;0.6;74.1
1.0;B;Septiembre;Bosque tropical perennifolio secundario;21.8;21.8;17.8;56.0
1.5;B;Julio;Bosque tropical perennifolio secundario;0.8;0.8;0.8;11.2
1.0;B;Enero;Matorral abierto;0.0;0.0;0.0;0.0
1.0;B;Enero;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
1.64;B;Febrero;Matorral abierto;0.0;0.0;0.0;0.0
1.0;B;Junio;Desierto;2.5;2.5;0.0;0.0
10.0;C;Diciembre;Matorral abierto;0.0;0.0;0.0;0.0
3.06;B;Marzo;Bosque tropical perennifolio secundario;117.0;64.0;0.0;0.0
2.0;B;Marzo;Bosque templado;31.5;1.5;1.5;0.0
2.0;B;Febrero;Matorral abierto;0.0;0.0;0.0;0.0
4.5;B;Abril;Desierto polar_roca;12.9;8.0;0.8;15.1
1.07;B;Febrero;Matorral abierto;0.0;0.0;0.0;0.0
1.0;B;Abril;Bosque templado;18.9;14.8;14.8;0.0
1.0;B;Diciembre;Bosque tropical perennifolio secundario;20.3;3.0;0.5;15.0
1.03;B;Junio;Matorral abierto;59.5;10.2;5.3;0.0
2.0;B;Septiembre;Matorral abierto;41.3;30.0;3.3;16.4
1.0;B;Abril;Desierto polar_roca;0.0;0.0;0.0;0.0
2.0;B;Marzo;Matorral abierto;0.0;0.0;0.0;0.0
3.0;B;Febrero;Bosque tropical perennifolio secundario;168.9;149.4;12.4;111.4
1.0;B;Abril;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
1.89;B;Agosto;Desierto polar_roca;34.1;1.8;0.0;0.0
1.47;B;Mayo;Matorral abierto;0.0;0.0;0.0;0.0
2.0;B;Noviembre;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
50.0;C;Diciembre;Matorral abierto;0.0;0.0;0.0;0.0
6.0;B;Noviembre;Bosque tropical perennifolio secundario;34.8;17.8;1.5;0.0
0.8;B;Diciembre;Matorral abierto;0.0;0.0;0.0;0.0
2.4;B;Abril;Desierto polar_roca;80.9;11.3;11.0;0.0
5.0;B;Noviembre;Matorral abierto;0.0;0.0;0.0;0.0
1.0;B;Noviembre;Bosque tropical perennifolio secundario;4.3;1.8;1.8;56.4
1.0;B;Enero;Desierto polar_roca;0.0;0.0;0.0;0.0
1.0;B;Agosto;Matorral abierto;0.0;0.0;0.0;0.0
46.4;C;Marzo;Bosque tropical perennifolio;46.2;22.4;13.5;0.0
3.0;B;Marzo;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
1.0;B;Junio;Matorral abierto;220.2;139.6;49.4;0.0
3.8;B;Abril;Desierto polar_roca;40.2;21.8;0.0;88.0
76.0;C;Julio;Matorral abierto;0.0;0.0;0.0;0.0
1.64;B;Abril;Bosque templado;43.4;11.4;0.0;0.0
5.0;B;Febrero;Matorral abierto;22.7;17.8;2.6;42.4
510.0;E;Agosto;Desierto polar_roca;0.0;0.0;0.0;0.0
30.0;C;Marzo;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
288.0;D;Agosto;Pradera_estepa;16.0;6.1;0.0;46.8
1.0;B;Enero;Bosque tropical perennifolio;39.7;0.0;0.0;0.0
1.0;B;Agosto;Desierto polar_roca;0.0;0.0;0.0;0.0
14.0;C;Diciembre;Desierto polar_roca;0.0;0.0;0.0;0.0
2.0;B;Enero;Matorral abierto;0.0;0.0;0.0;0.0
15.0;C;Febrero;Matorral abierto;11.8;7.9;6.9;0.0
10.0;C;Agosto;Matorral abierto;0.0;0.0;0.0;140.9
800.0;E;Abril;Desierto polar_roca;0.0;0.0;0.0;0.0
18.59;C;Mayo;Bosque tropical perennifolio secundario;5.9;0.0;0.0;31.0
5.0;B;Mayo;Desierto polar_roca;0.0;0.0;0.0;0.0
15.0;C;Marzo;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
15.0;C;Junio;Matorral abierto;5.6;5.6;0.0;3.0
3.0;B;Mayo;Pradera_estepa;68.1;65.0;43.9;0.0
1.0;B;Diciembre;Bosque tropical perennifolio;18.4;4.3;0.0;0.0
13.0;C;Enero;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
168.3;D;Abril;Pradera_estepa;0.0;0.0;0.0;0.0
3.0;B;Febrero;Matorral abierto;0.0;0.0;0.0;0.0
2.0;B;Abril;Pradera_estepa;0.0;0.0;0.0;0.0
1.3;B;Octubre;Bosque tropical perennifolio secundario;0.0;0.0;0.0;27.9
6.0;B;Noviembre;Desierto polar_roca;32.6;16.8;0.0;73.3
1.0;B;Febrero;Matorral abierto;0.0;0.0;0.0;0.0
1.8;B;Agosto;Pradera_estepa;4.5;0.0;0.0;0.0
25.0;C;Mayo;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
109.0;D;Abril;Matorral abierto;46.8;1.8;1.8;20.6
3.6;B;Febrero;Matorral abierto;0.0;0.0;0.0;0.0
30.0;C;Octubre;Bosque tropical perennifolio secundario;70.9;37.6;0.0;0.0
3.0;B;Junio;Matorral abierto;0.0;0.0;0.0;0.0
5.2;B;Junio;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
20.0;C;Febrero;Matorral abierto;43.2;31.1;15.5;122.3
1.0;B;Noviembre;Bosque tropical perennifolio;9.8;0.6;0.0;422.3
23.0;C;Abril;Pradera_estepa;46.5;44.5;16.3;29.8
3.0;B;Agosto;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
29.0;C;Abril;Matorral abierto;0.0;0.0;0.0;0.0
1.05;B;Junio;Bosque tropical perennifolio secundario;47.4;16.4;0.0;92.6
3.0;B;Agosto;Desierto polar_roca;28.2;3.3;0.3;20.2
30.0;C;Febrero;Matorral abierto;0.0;0.0;0.0;0.0
5.0;B;Marzo;Matorral abierto;3.6;3.6;3.6;1.5
1.0;B;Febrero;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
1.0;B;Abril;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
20.0;C;Febrero;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
2.8;B;Febrero;Matorral abierto;0.0;0.0;0.0;0.0
25.0;C;Febrero;Matorral abierto;654.0;431.8;357.8;320.4
80.0;C;Mayo;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
5.0;B;Julio;Matorral abierto;2.9;1.5;0.6;2.1
4.0;B;Agosto;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
0.97;B;Abril;Pradera_estepa;54.4;12.6;4.9;0.0
3.0;B;Marzo;Matorral abierto;0.0;0.0;0.0;0.0
8.0;B;Mayo;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
2.0;B;Enero;Bosque tropical perennifolio;12.2;3.8;3.8;49.1
2.0;B;Marzo;Bosque tropical perennifolio secundario;60.5;34.8;0.0;137.7
3.0;B;Junio;Desierto polar_roca;0.0;0.0;0.0;0.0
1.0;B;Mayo;Pradera_estepa;51.8;9.2;1.0;0.0
85.0;C;Febrero;Bosque tropical perennifolio secundario;31.1;17.5;0.0;0.0
1.0;B;Marzo;Matorral abierto;0.0;0.0;0.0;0.0
9.0;B;Mayo;Bosque tropical perennifolio;53.2;30.3;4.6;0.0
9.77;B;Abril;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
41.28;C;Abril;Bosque tropical perennifolio secundario;26.8;22.0;14.8;135.2
50.0;C;Noviembre;Bosque tropical perennifolio;97.1;30.8;29.5;43.5
20.0;C;Agosto;Desierto polar_roca;0.0;0.0;0.0;0.0
4.5;B;Octubre;Desierto polar_roca;29.5;25.7;3.3;0.0
2.93;B;Febrero;Matorral abierto;35.1;28.2;0.0;0.0
1.0;B;Junio;Matorral abierto;0.0;0.0;0.0;0.0
1.0;B;Mayo;Matorral abierto;0.0;0.0;0.0;0.0
2.0;B;Abril;Matorral abierto;3.9;0.3;0.3;0.0
270.0;D;Abril;Desierto polar_roca;0.0;0.0;0.0;0.0
40.0;C;Enero;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
2.0;B;Julio;Bosque tropical perennifolio secundario;91.1;88.1;68.0;11.2
50.0;C;Febrero;Bosque tropical perennifolio;80.4;21.2;10.7;292.3
4.5;B;Marzo;Matorral abierto;48.7;2.3;0.0;45.5
2.0;B;Julio;Desierto polar_roca;0.0;0.0;0.0;0.0
250.0;D;Agosto;Bosque tropical perennifolio secundario;55.4;20.8;16.2;18.2
10.0;C;Julio;Matorral abierto;4.1;0.0;0.0;99.4
25.0;C;Septiembre;Bosque tropical perennifolio secundario;8.1;4.8;0.3;36.1
1.0;B;Marzo;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
2.0;B;Noviembre;Bosque tropical perennifolio secundario;15.2;13.7;12.4;0.0
1.0;B;Abril;Matorral abierto;28.5;11.5;0.0;42.5
1.53;B;Marzo;Matorral abierto;44.5;8.5;0.5;0.0
1.0;B;Junio;Matorral abierto;0.0;0.0;0.0;0.0
0.52;B;Marzo;Matorral abierto;56.2;31.0;0.3;153.9
2.0;B;Julio;Matorral abierto;90.9;50.9;42.7;32.2
30.0;C;Diciembre;Matorral abierto;149.2;132.0;0.0;55.4
1.0;B;Febrero;Bosque tropical perennifolio secundario;136.9;14.7;14.2;142.2
1.5;B;Enero;Matorral abierto;5.4;0.0;0.0;0.0
1.0;B;Abril;Desierto polar_roca;0.0;0.0;0.0;0.0
40.0;C;Julio;Matorral abierto;0.0;0.0;0.0;0.0
45.0;C;Octubre;Matorral abierto;0.0;0.0;0.0;0.0
1.0;B;Abril;Pradera_estepa;218.5;132.8;29.5;0.0
4.89;B;Agosto;Matorral abierto;19.3;16.0;15.7;0.0
1.0;B;Julio;Bosque tropical perennifolio secundario;119.5;58.4;58.4;11.6
10.0;C;Agosto;Matorral abierto;0.0;0.0;0.0;0.0
14.0;C;Abril;Desierto polar_roca;0.0;0.0;0.0;0.0
1.0;B;Febrero;Desierto polar_roca;50.2;38.8;8.6;63.4
4.2;B;Abril;Bosque templado;17.4;17.4;17.4;0.0
25.0;C;Marzo;Matorral abierto;0.0;0.0;0.0;0.0
3.0;B;Junio;Matorral abierto;0.0;0.0;0.0;0.0
63.0;C;Marzo;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
1.5;B;Mayo;Matorral abierto;0.0;0.0;0.0;0.0
1.0;B;Septiembre;Bosque tropical perennifolio secundario;20.5;3.8;0.0;13.1
2.2;B;Abril;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
5.0;B;Septiembre;Matorral abierto;0.0;0.0;0.0;0.0
6.0;B;Diciembre;Matorral abierto;0.0;0.0;0.0;0.0
2.0;B;Abril;Desierto polar_roca;0.0;0.0;0.0;0.0
1.0;B;Diciembre;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
470.0;E;Marzo;Pradera_estepa;5.6;0.5;0.0;0.0
0.75;B;Noviembre;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
15.0;C;Abril;Pradera_estepa;0.0;0.0;0.0;0.0
8.71;B;Abril;Bosque tropical perennifolio secundario;238.0;142.8;34.0;0.0
9.95;B;Octubre;Matorral abierto;57.7;0.3;0.3;55.1
30.0;C;Mayo;Matorral abierto;0.0;0.0;0.0;0.0
10.0;C;Febrero;Matorral abierto;0.0;0.0;0.0;0.0
1.0;B;Marzo;Matorral abierto;0.0;0.0;0.0;0.0
1.0;B;Mayo;Bosque tropical perennifolio;29.2;0.0;0.0;0.0
60.0;C;Enero;Matorral abierto;6.0;0.0;0.0;0.0
4.9;B;Abril;Desierto polar_roca;47.3;23.1;0.0;0.0
2.0;B;Noviembre;Matorral abierto;4.6;4.6;0.0;0.0
1.0;B;Agosto;Matorral abierto;26.2;19.3;19.3;104.4
8.57;B;Mayo;Desierto polar_roca;167.8;46.4;6.0;0.0
10.0;C;Julio;Desierto polar_roca;30.3;11.2;4.6;37.7
32.4;C;Julio;Desierto polar_roca;0.0;0.0;0.0;0.0
4.0;B;Marzo;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
1.0;B;Septiembre;Bosque tropical perennifolio secundario;2.9;0.8;0.8;14.0
25.0;C;Mayo;Bosque tropical perennifolio;0.0;0.0;0.0;0.0
2.0;B;Septiembre;Matorral abierto;28.0;6.4;0.3;71.2
1.0;B;Marzo;Desierto polar_roca;45.0;0.0;0.0;0.0
15.0;C;Junio;Bosque tropical perennifolio secundario;0.0;0.0;0.0;0.0
